Id,SalePrice
1461,124542.83905719692
1462,219365.36665217634
1463,192623.2391551593
1464,202176.88850910089
1465,171893.4075549795
1466,186432.39310235524
1467,185426.6553706037
1468,175784.93369509166
1469,175543.17491023708
1470,121195.64044669074
1471,204308.14097077292
1472,98096.77322949728
1473,96557.19324327102
1474,147423.66666142788
1475,107376.12356208835
1476,360038.0950767754
1477,254415.2940291544
1478,262763.70232471474
1479,268549.81026373664
1480,488104.002380174
1481,298205.87442257925
1482,203474.71310330628
1483,178220.8066586306
1484,163516.28943425178
1485,186208.00406260797
1486,198283.95440658927
1487,320424.6488785906
1488,223549.66191606395
1489,207695.00386645104
1490,224649.346597553
1491,210145.25036109623
1492,93235.80887502509
1493,198474.8030825626
1494,260895.86966069703
1495,259835.4411997303
1496,231299.23521351843
1497,161985.7760547515
1498,170722.90762454597
1499,143942.1973117003
1500,144374.0680331086
1501,179941.4337073963
1502,152763.01576837135
1503,245878.88201779922
1504,232295.78284461956
1505,211821.97836170436
1506,203786.01208296197
1507,267739.26095517067
1508,212334.79217227985
1509,166340.8655889498
1510,156398.78541661028
1511,151301.75082995894
1512,175787.47166763197
1513,157419.9309352399
1514,176476.3413792793
1515,189024.22185687217
1516,163401.15536522653
1517,170323.8155029435
1518,126913.45901846916
1519,230496.39790967738
1520,127237.65936751559
1521,139920.28451444895
1522,187100.1393297711
1523,111031.09429960376
1524,112576.65875799183
1525,129572.96782026505
1526,121073.27641886866
1527,111764.50203028215
1528,133478.02559410303
1529,143109.05488623228
1530,183630.84041373065
1531,114323.18914473978
1532,107916.69189632137
1533,151156.2391640142
1534,128691.67363387025
1535,155501.28966592232
1536,105627.00841750285
1537,86657.94591238108
1538,181566.49758247018
1539,182263.5787081666
1540,96956.11575635558
1541,153602.92883422578
1542,149995.46621851198
1543,197714.6079886892
1544,49735.350457446955
1545,108323.48117571464
1546,134116.51139037
1547,121224.00967317083
1548,133722.538045846
1549,121407.32461010979
1550,132405.37939781754
1551,114552.80341785453
1552,150771.22682046395
1553,165368.22027235597
1554,120268.1141357277
1555,169387.66893560183
1556,77399.63640720065
1557,134361.08996171306
1558,90310.41881067879
1559,83329.23626033467
1560,146872.453195481
1561,156747.00361537578
1562,131519.24997890127
1563,120702.41396395193
1564,170484.255995251
1565,157682.3071286453
1566,236285.35681440507
1567,87013.65938953117
1568,233325.3735025308
